# Most abundant isotope for each element
# Data extracted from NIST website
# Original dataset published by M. Berglund and M.E. Wieser in Isotopic Compositions of the Elements 2009
1    1
2    4
3    7
4    9
5    11
6    12
7    14
8    16
9    19
10    20
11    23
12    24
13    27
14    28
15    31
16    32
17    35
18    40
19    39
20    40
21    45
22    48
23    51
24    52
25    55
26    56
27    59
28    58
29    63
30    64
31    69
32    74
33    75
34    80
35    79
36    84
37    85
38    88
39    89
40    90
41    93
42    98
43    120
44    102
45    103
46    106
47    107
48    114
49    115
50    120
51    121
52    130
53    127
54    132
55    133
56    138
57    139
58    140
59    141
60    142
61    163
62    152
63    153
64    158
65    159
66    164
67    165
68    166
69    169
70    174
71    175
72    180
73    181
74    184
75    187
76    192
77    193
78    195
79    197
80    202
81    205
82    208
83    209
84    227
85    229
86    231
87    233
88    235
89    237
90    232
91    231
92    238
93    245
94    247
95    249
96    252
97    254
98    256
99    258
100    260
101    262
102    264
103    266
104    268
105    270
106    273
107    275
108    277
109    279
110    281
111    283
112    285
113    287
114    289
115    291
116    293
117    294
118    295
